No.	A	->	B		C		D	Left side feats	Right side feats	Scope	Hits	Reliability	Confidence	examples	exceptions
1941	q	->	q	/	X 	__	s y	[]	[]	2	2	1.0	0.57	sekqstr, desqs	
2602	q	->	q	/	X am	__	bl	[]	[]	2	2	1.0	0.57	amqbl, desamqbl	
113	o	->	q	/	X k	__	rd	[]	[]	7	7	1.0	0.872	rekord, akord, koNkord, desakord, diskord, deseNkord, eNkord	
148	o	->	q	/	X pr	__	b	[]	[]	7	7	1.0	0.872	komprob, prob, aprob, reprob, desaprob, improb, prob	
10	o	->	q	/	X k	__	nt y	[]	[]	5	5	1.0	0.825	eNkontr, kont, deskont, reeNkontr, rekont	
296	o	->	q	/	X k	__	st	[]	[]	4	4	1.0	0.786	kost, akost, rekost, eNkost	
305	o	->	q	/	X f	__	rs	[]	[]	4	4	1.0	0.786	fors, esfors, refors, alfors	
127	o	->	q	/	X 	__	st y	[]	[]	12	10	0.833	0.728	mostr, demostr, kost, akost, apost, rekost, tost, denost, eNkost, retost	agost, aNgost
506	o	->	q	/	X s	__	l y	[]	[]	12	10	0.833	0.728	sol, solt, konsol, desol, sold, asol, deskonsol, asold, asol, desold	akrisol, sobresol
188	o	->	q	/	s	__	l y	[]	[]	3	3	1.0	0.718	sol, solt, sold	
1185	o	->	q	/	X k	__	nt	[]	[]	3	3	1.0	0.718	kont, deskont, rekont	
1268	o	->	q	/	X b	__	lk	[]	[]	3	3	1.0	0.718	bolk, rebolk, rebolk	
1486	o	->	q	/	X p	__	bl	[]	[]	3	3	1.0	0.718	pobl, despobl, repobl	
2205	o	->	q	/	reb	__	l y	[]	[]	3	3	1.0	0.718	rebolk, rebol, rebolk	
2274	o	->	q	/	X k	__	l	[]	[]	3	3	1.0	0.718	kol, eNkol, traskol	
2314	o	->	q	/	X m	__	bl	[]	[]	3	3	1.0	0.718	mobl, amobl, desamobl	
2440	o	->	q	/	X k	__	j	[]	[]	3	3	1.0	0.718	deskoj, akoj, aperkoj	
2489	o	->	q	/	X s	__	ld	[]	[]	3	3	1.0	0.718	sold, asold, desold	
2490	o	->	q	/	as	__	l y	[]	[]	3	3	1.0	0.718	asol, asold, asol	
2567	o	->	q	/	X kons	__	 y	[]	[]	3	3	1.0	0.718	konsol, deskonsol, konson	
2643	o	->	q	/	X Nk	__	rd	[]	[]	3	3	1.0	0.718	koNkord, deseNkord, eNkord	
297	o	->	q	/	X 	__	st	[]	[]	10	8	0.8	0.68	kost, akost, apost, rekost, tost, denost, eNkost, retost	agost, aNgost
504	o	->	q	/	X s	__	l	[]	[]	8	6	0.75	0.61	sol, konsol, desol, asol, deskonsol, asol	akrisol, sobresol
1792	o	->	q	/	X 	__	bl	[]	[]	8	6	0.75	0.61	pobl, despobl, mobl, repobl, amobl, desamobl	dobl, redobl
2195	o	->	q	/	X 	__	ld	[]	[]	5	4	0.8	0.607	sold, regold, asold, desold	amold
2204	o	->	q	/	X b	__	l	[]	[]	5	4	0.8	0.607	bol, rebol, sirkunbol, trasbol	desarbol
2711	o	->	q	/	X Nk	__	r y	[]	[]	5	4	0.8	0.607	koNkord, deseNkord, eNkor, eNkord	eNkorb
39	o	->	q	/	X m	__	str	[]	[]	2	2	1.0	0.57	mostr, demostr	
499	o	->	q	/	b	__	l y	[]	[]	2	2	1.0	0.57	bol, bolk	
726	o	->	q	/	X k	__	lg	[]	[]	2	2	1.0	0.57	kolg, deskolg	
1293	o	->	q	/	X eNk	__	ntr	[]	[]	2	2	1.0	0.57	eNkontr, reeNkontr	
1587	o	->	q	/	X kons	__	l	[]	[]	2	2	1.0	0.57	konsol, deskonsol	
1880	o	->	q	/	X berg	__	ns	[]	[]	2	2	1.0	0.57	abergons, desbergons	
1981	o	->	q	/	X es	__	j	[]	[]	2	2	1.0	0.57	desoj, resoj	
2164	o	->	q	/	X apr	__	b	[]	[]	2	2	1.0	0.57	aprob, desaprob	
2256	o	->	q	/	X ak	__	rd	[]	[]	2	2	1.0	0.57	akord, desakord	
2435	o	->	q	/	X kl	__	k	[]	[]	2	2	1.0	0.57	klok, aklok	
2566	o	->	q	/	kons	__	 y	[]	[]	2	2	1.0	0.57	konsol, konson	
2600	o	->	q	/	X am	__	bl	[]	[]	2	2	1.0	0.57	amobl, desamobl	
2634	o	->	q	/	X k	__	rn	[]	[]	2	2	1.0	0.57	akorn, deskorn	
2645	o	->	q	/	X eNgr	__	s	[]	[]	2	2	1.0	0.57	eNgros, deseNgros	
2667	o	->	q	/	des	__	l y	[]	[]	2	2	1.0	0.57	desol, desold	
2715	o	->	q	/	X eNk	__	rd	[]	[]	2	2	1.0	0.57	deseNkord, eNkord	
2774	o	->	q	/	X mpr	__	b	[]	[]	2	2	1.0	0.57	komprob, improb	
2810	o	->	q	/	X t	__	st	[]	[]	2	2	1.0	0.57	tost, retost	
2856	o	->	q	/	X tr	__	k	[]	[]	2	2	1.0	0.57	trok, trastrok	
703	o	->	q	/	X 	__	rs	[]	[]	7	5	0.714	0.561	fors, esfors, refors, almors, alfors	alkors, endors
1731	o	->	q	/	des	__	 y	[]	[]	7	5	0.714	0.561	desol, desoj, desob, desold, desos	desox, desonr
213	o	->	q	/	X 	__	l	[]	[]	24	15	0.625	0.553	sol, bol, konsol, kol, desol, asol, deskonsol, amol, rebol, eNkol, abuñol, asol, sirkunbol, traskol, trasbol	kontrol, bjol, inmol, desarbol, akrisol, tremol, Carol, interpol, sobresol
1360	o	->	q	/	X r	__	k	[]	[]	4	3	0.75	0.526	trok, derrok, trastrok	resiprok
2446	o	->	q	/	X ak	__	r y	[]	[]	4	3	0.75	0.526	akord, desakord, akorn	akort
2713	o	->	q	/	X eNk	__	r y	[]	[]	4	3	0.75	0.526	deseNkord, eNkor, eNkord	eNkorb
1267	o	->	q	/	X b	__	l y	[]	[]	11	7	0.636	0.523	bol, bolk, rebolk, rebol, sirkunbol, rebolk, trasbol	embols, desembols, desarbol, reembols
1951	o	->	q	/	X eNk	__	 y	[]	[]	11	7	0.636	0.523	eNkontr, reeNkontr, eNkost, eNkol, deseNkord, eNkor, eNkord	eNkorb, eNkon, eNkox, eNkomj
1118	o	->	q	/	X Nk	__	 y	[]	[]	13	8	0.615	0.512	eNkontr, koNkord, reeNkontr, eNkost, eNkol, deseNkord, eNkor, eNkord	arriNkon, eNkorb, eNkon, eNkox, eNkomj
159	o	->	q	/	X 	__	l y	[]	[]	47	26	0.553	0.503	sol, kolg, solt, bol, bolk, konsol, kol, deskolg, desol, sold, olg, rebolk, asol, deskonsol, amol, regold, rebol, eNkol, abuñol	kontrol, bjol, kolm, eskolt, agolp, empolb, akolC, embols, remolk, desempolb, inmol, desembols, amold, desarbol, akrisol, eNgolf, tremol, Carol, reembols
1186	o	->	q	/	desk	__	 y	[]	[]	6	4	0.667	0.5	deskolg, deskont, deskoj, deskorn	deskonfj, deskorC
727	o	->	q	/	X k	__	l y	[]	[]	8	5	0.625	0.489	kolg, kol, deskolg, eNkol, traskol	kolm, eskolt, akolC
95	o	->	q	/	s	__	 y	[]	[]	10	6	0.6	0.482	sol, son, soñ, solt, sold, son	sobr, sopl, sob, sond
739	o	->	q	/	X es	__	 y	[]	[]	13	7	0.538	0.439	reson, desol, desoj, resoj, desob, desold, desos	asesor, atesor, desox, resoNg, desonr, sobresol
353	o	->	q	/	X 	__	b	[]	[]	14	9	0.643	0.439	komprob, prob, aprob, renob, reprob, desob, desaprob, improb, prob	rob, eNglob, sob, adob, innob
2367	o	->	q	/	X sk	__	 y	[]	[]	11	6	0.545	0.437	deskolg, deskont, deskoj, diskord, deskorn, traskol	deskonfj, eskolt, deskorC, biskoC, eskombr
1950	o	->	q	/	eNk	__	 y	[]	[]	9	5	0.556	0.432	eNkontr, eNkost, eNkol, eNkor, eNkord	eNkorb, eNkon, eNkox, eNkomj
663	o	->	q	/	rek	__	 y	[]	[]	5	3	0.6	0.42	rekord, rekost, rekont	rekobr, rekort
1512	o	->	q	/	X tr	__	n	[]	[]	5	3	0.6	0.42	tron, atron, retron	destron, entron
405	o	->	q	/	X 	__	b y	[]	[]	31	15	0.484	0.406	komprob, prob, aprob, renob, pobl, despobl, reprob, mobl, repobl, desob, desaprob, amobl, desamobl, improb, prob	sobr, kobr, rob, dobl, obr, rekobr, eNglob, sob, obj, agobj, adob, manjobr, redobl, obst, sosobr, innob
19	o	->	q	/	X k	__	 y	[]	[]	61	27	0.443	0.4	eNkontr, kont, rekord, akord, kost, kolg, akost, kol, rekost, deskolg, koNkord, deskont, reeNkontr, eNkost, deskoj, rekont, desakord, eNkol, diskord	kompr, kort, kobr, konfj, konst, kopj, rekobr, akos, rekort, kolm, deskonfj, dekor, eskolt, akopl, akot, arriNkon, eNkorb, akod, akort
692	o	->	q	/	X s	__	n	[]	[]	12	6	0.5	0.399	son, reson, ason, konson, dison, son	rason, deskorason, blason, sason, apison, aperson
585	o	->	q	/	k	__	l y	[]	[]	3	2	0.667	0.396	kolg, kol	kolm
1397	o	->	q	/	tr	__	 y	[]	[]	3	2	0.667	0.396	trok, tron	trot
1980	o	->	q	/	res	__	 y	[]	[]	3	2	0.667	0.396	reson, resoj	resoNg
2445	o	->	q	/	ak	__	r y	[]	[]	3	2	0.667	0.396	akord, akorn	akort
2633	o	->	q	/	X sk	__	r y	[]	[]	3	2	0.667	0.396	diskord, deskorn	deskorC
2716	o	->	q	/	eNk	__	r y	[]	[]	3	2	0.667	0.396	eNkor, eNkord	eNkorb
2851	o	->	q	/	X sk	__	l y	[]	[]	3	2	0.667	0.396	deskolg, traskol	eskolt
2853	o	->	q	/	X s	__	ñ	[]	[]	3	2	0.667	0.396	soñ, trasoñ	emponsoñ
2444	o	->	q	/	X k	__	r y	[]	[]	18	10	0.556	0.388	rekord, akord, koNkord, desakord, diskord, akorn, deskorn, deseNkord, eNkor, eNkord	kort, rekort, dekor, eNkorb, akort, eNkokor, deskorC, alkors
1732	o	->	q	/	X 	__	j	[]	[]	20	9	0.45	0.376	oj, degoj, desoj, resoj, deskoj, akoj, afoj, aperkoj, reoj	desarroj, apoj, enroj, arroj, embroj, aboj, ampoj, empoj, atoj, konboj, desaboj
2325	o	->	q	/	as	__	 y	[]	[]	8	4	0.5	0.374	asol, ason, asold, asol	asom, asosj, asombr, asot
505	o	->	q	/	X s	__	 y	[]	[]	52	22	0.423	0.354	sol, son, soñ, solt, konsol, reson, desol, sold, asol, deskonsol, desoj, resoj, desob, ason, asold, asol, konson, desold, desos	sobr, asom, asosj, asombr, sopl, rason, asesor, asot, sob, filosof, atesor, absort, desox, disosj, resoNg, deskorason, blason, sosobr, desonr
2257	o	->	q	/	X ak	__	 y	[]	[]	12	5	0.417	0.323	akord, akost, desakord, akoj, akorn	akos, akopl, akot, akod, akort, akolC, akopj
1424	o	->	q	/	X en	__	 y	[]	[]	4	2	0.5	0.31	renob, denost	denot, enox
2196	o	->	q	/	X eg	__	 y	[]	[]	4	2	0.5	0.31	degoj, regold	negosj, pregon
2461	o	->	q	/	X af	__	 y	[]	[]	4	2	0.5	0.31	desafor, afoj	afor, aforr
1511	o	->	q	/	X tr	__	 y	[]	[]	13	5	0.385	0.298	trok, tron, atron, retron, trastrok	kontrol, destros, trot, destron, atrofj, entroNk, ipertrofj, entron
2854	o	->	q	/	X as	__	 y	[]	[]	14	5	0.357	0.278	asol, ason, asold, asol, trasoñ	asom, asosj, asombr, rason, asot, deskorason, blason, sason, desasosj
295	o	->	q	/	ak	__	 y	[]	[]	11	4	0.364	0.273	akord, akost, akoj, akorn	akos, akopl, akot, akod, akort, akolC, akopj
2599	o	->	q	/	X am	__	 y	[]	[]	8	3	0.375	0.267	amol, amobl, desamobl	enamor, amold, amosk, amorr, eskamond
2315	o	->	q	/	am	__	 y	[]	[]	5	2	0.4	0.254	amol, amobl	amold, amosk, amorr
126	o	->	q	/	k	__	 y	[]	[]	12	4	0.333	0.25	kont, kost, kolg, kol	kompr, kort, kobr, konfj, konst, kopj, kolm, komb
1171	o	->	q	/	X g	__	 y	[]	[]	17	5	0.294	0.228	abergons, degoj, desbergons, regold, agor	gos, agot, negosj, eNgord, pregon, agolp, agobj, akoNgox, agost, eNgolf, aNgost, eNgom
408	o	->	q	/	X r	__	 y	[]	[]	73	17	0.233	0.187	komprob, prob, aprob, rod, rog, trok, derrok, eNgros, tron, atron, reprob, desaprob, deseNgros, improb, prob, retron, trastrok	desarroj, kontrol, arrox, rob, ros, brot, afront, derrot, destros, interrog, reproC, frot, koron, rond, apropj, desmoron, enroj, drog, arrop
2460	o	->	q	/	X f	__	 y	[]	[]	22	6	0.273	0.187	fors, esfors, refors, desafor, afoj, alfors	form, inform, transform, konform, forx, uniform, enfok, forr, sofok, deform, perfor, reform, afor, konfort, alfombr, aforr
1791	o	->	q	/	m	__	 y	[]	[]	7	2	0.286	0.186	mostr, mobl	mont, mox, mor, mof, mond
702	o	->	q	/	X m	__	 y	[]	[]	31	7	0.226	0.183	mostr, demostr, almors, mobl, amol, amobl, desamobl	mont, enamor, akomod, remont, demor, mox, desmont, mor, konmemor, testimonj, mof, iNkomod, remos, remolk, inmol, remox, mond, amold, desmoC
37	o	->	q	/	X 	__	 y	[]	[]	557	107	0.192	0.17	eNkontr, kont, rekord, mostr, demostr, komprob, sol, son, akord, kost, prob, kolg, soñ, solt, fors, bol, aprob, akost, esfors	tom, form, logr, tok, abandon, probok, desarroj, kompr, kolok, import, apoj, jor, not, kort, funsjon, inform, kontrol, sobr, transform
2345	o	->	q	/	X 	__	k	[]	[]	23	5	0.217	0.17	trok, derrok, klok, aklok, trastrok	tok, probok, kolok, ekibok, konbok, ebok, Cok, desembok, inbok, enfok, sofok, retok, trastok, dislok, embok, rebok, apok, resiprok
2012	o	->	q	/	X f	__	r y	[]	[]	18	5	0.278	0.155	fors, esfors, refors, desafor, alfors	form, inform, transform, konform, forx, uniform, forr, deform, perfor, reform, afor, konfort, aforr
1366	o	->	q	/	X 	__	s y	[]	[]	49	14	0.286	0.155	mostr, demostr, kost, akost, apost, rekost, os, eNgros, tost, denost, eNkost, deseNgros, desos, retost	gos, ros, asosj, negosj, pos, destros, repos, akos, esbos, espos, rebos, sojos, enrosk, ados, rosj, retos, alboros, endos, disosj
2712	o	->	q	/	X k	__	r	[]	[]	3	1	0.333	0.146	eNkor	dekor, eNkokor
461	o	->	q	/	r	__	 y	[]	[]	10	2	0.2	0.135	rod, rog	rob, ros, rond, roNk, rosj, rot, rons, rosn
2646	o	->	q	/	X 	__	s	[]	[]	27	4	0.148	0.113	os, eNgros, deseNgros, desos	gos, ros, pos, destros, repos, akos, esbos, espos, rebos, sojos, ados, retos, alboros, endos, remos, embos, glos, despos, endjos
406	o	->	q	/	X p	__	 y	[]	[]	36	5	0.139	0.104	apost, pobl, despobl, repobl, empork	import, apoj, soport, iNkorpor, aport, komport, transport, pos, port, repos, despox, espos, deport, eksport, report, tapon, ebapor, empotr, apod
94	o	->	q	/	X 	__	n y	[]	[]	139	16	0.115	0.098	eNkontr, kont, son, abergons, reson, deskont, reeNkontr, tron, atron, desbergons, rekont, ason, konson, dison, retron, son	abandon, funsjon, relasjon, proporsjon, mont, konfj, perdon, mensjon, reaksjon, afront, konst, impresjon, solusjon, kondisjon, refleksjon, okasjon, remont, traisjon, rason
209	o	->	q	/	X 	__	r y	[]	[]	124	18	0.145	0.097	rekord, akord, fors, esfors, refors, almors, koNkord, desafor, desakord, agor, diskord, akorn, alfors, deskorn, deseNkord, empork, eNkor, eNkord	form, import, jor, kort, inform, transform, ignor, soport, iNkorpor, mexor, aport, enamor, konform, komport, borr, elabor, balor, abord, transport
2013	o	->	q	/	X 	__	r	[]	[]	45	3	0.067	0.049	desafor, agor, eNkor	jor, ignor, iNkorpor, mexor, enamor, elabor, balor, kolabor, debor, ador, demor, eksplor, deterjor, añor, or, dekor, aflor, mor, asesor
693	o	->	q	/	X 	__	n	[]	[]	112	9	0.08	0.047	son, reson, tron, atron, ason, konson, dison, retron, son	abandon, funsjon, relasjon, proporsjon, perdon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, okasjon, traisjon, rason, emosjon, kqstjon, ebolusjon, seleksjon, koron
1085	o	->	q	/		__	 y	[]	[]	13	3	0.231	0.166	os, oj, olg	odj, opt, obr, or, onr, obj, obst, osj, orn, orl
108	o	->	o	/	X j	__	 y	[]	[]	70	70	1.0	0.986	jor, funsjon, relasjon, proporsjon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, bjol, okasjon, traisjon, emosjon, kqstjon, ebolusjon, seleksjon, deterjor, perfeksjon	
566	o	->	o	/	X j	__	n	[]	[]	63	63	1.0	0.985	funsjon, relasjon, proporsjon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, okasjon, traisjon, emosjon, kqstjon, ebolusjon, seleksjon, perfeksjon, presjon, obsesjon, afisjon	
1404	o	->	o	/	X sj	__	 y	[]	[]	59	59	1.0	0.984	funsjon, relasjon, proporsjon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, okasjon, traisjon, emosjon, ebolusjon, seleksjon, perfeksjon, presjon, obsesjon, afisjon, desepsjon	
144	o	->	o	/	X sj	__	n	[]	[]	58	58	1.0	0.983	funsjon, relasjon, proporsjon, mensjon, reaksjon, impresjon, solusjon, kondisjon, refleksjon, okasjon, traisjon, emosjon, ebolusjon, seleksjon, perfeksjon, presjon, obsesjon, afisjon, desepsjon	
1364	o	->	o	/	X 	__	t y	[]	[]	28	28	1.0	0.966	not, dot, bot, agot, flot, brot, derrot, eksplot, anot, frot, rebot, asot, akot, alborot, denot, bot, trot, pilot, rot	
245	o	->	o	/	X 	__	t	[]	[]	27	27	1.0	0.965	not, dot, bot, agot, flot, brot, derrot, eksplot, anot, frot, rebot, asot, akot, alborot, denot, bot, trot, pilot, rot	
182	o	->	o	/	X d	__	 y	[]	[]	24	24	1.0	0.961	abandon, adopt, perdon, dot, dobl, adorn, ador, don, dor, ados, adob, endos, dom, redobl, akordon, galardon, amodorr, kondon, algodon	
105	o	->	o	/	X 	__	rt	[]	[]	18	18	1.0	0.948	import, kort, soport, aport, komport, transport, port, rekort, deport, eksport, abort, report, akort, absort, konfort, eksort, entort, port	
64	o	->	o	/	X 	__	m y	[]	[]	17	17	1.0	0.945	tom, kompr, nombr, asom, asombr, desplom, dom, alfombr, aplom, komb, embrom, eNgom, epitom, eNkomj, enrom, eskombr, sobrekompr	
868	o	->	o	/	X 	__	x y	[]	[]	15	15	1.0	0.938	arrox, mox, antox, despox, alox, aflox, eloxj, enox, desalox, desox, akoNgox, remox, eNkox, aserrox, aox	
290	o	->	o	/	X b	__	r y	[]	[]	14	14	1.0	0.934	borr, elabor, abord, kolabor, debor, desbord, bord, korrobor, abort, atiborr, diborsj, soborn, labor, transbord	
495	o	->	o	/	X 	__	p y	[]	[]	14	14	1.0	0.934	adopt, opt, sopl, kopj, top, apropj, akopl, arrop, galop, ekspropj, fotokopj, akopj, desarrop, serokopj	
593	o	->	o	/	X 	__	x	[]	[]	14	14	1.0	0.934	arrox, mox, antox, despox, alox, aflox, enox, desalox, desox, akoNgox, remox, eNkox, aserrox, aox	
443	o	->	o	/	X ksj	__	n	[]	[]	13	13	1.0	0.928	reaksjon, refleksjon, seleksjon, perfeksjon, aksjon, konfeksjon, koleksjon, inspeksjon, aleksjon, fraksjon, aneksjon, friksjon, kalefaksjon	
490	o	->	o	/	X isj	__	n	[]	[]	12	12	1.0	0.923	kondisjon, traisjon, afisjon, aprisjon, akondisjon, ambisjon, aprobisjon, komisjon, petisjon, adisjon, desaprisjon, reakondisjon	
687	o	->	o	/	X ab	__	 y	[]	[]	12	12	1.0	0.923	elabor, abord, kolabor, abog, abon, abort, xabon, eslabon, eNxabon, labor, aboj, desaboj	
161	o	->	o	/	X p	__	rt	[]	[]	10	10	1.0	0.908	import, soport, aport, komport, transport, port, deport, eksport, report, port	
1663	o	->	o	/	X t	__	n y	[]	[]	10	10	1.0	0.908	enton, amonton, desenton, atont, aboton, akarton, enbalenton, apeloton, desaboton, deton	
167	o	->	o	/	X 	__	m	[]	[]	9	9	1.0	0.898	tom, asom, desplom, dom, aplom, embrom, eNgom, epitom, enrom	
625	o	->	o	/	X l	__	r	[]	[]	9	9	1.0	0.898	balor, eksplor, aflor, implor, deplor, klor, subalor, abalor, deskolor	
1593	o	->	o	/	X emb	__	 y	[]	[]	9	9	1.0	0.898	desembok, embosk, embols, embos, desembols, embok, embot, reembols, embon	
1705	o	->	o	/	X t	__	n	[]	[]	9	9	1.0	0.898	enton, amonton, desenton, aboton, akarton, enbalenton, apeloton, desaboton, deton	
91	o	->	o	/	X 	__	r	[]	[]	45	42	0.933	0.897	jor, ignor, iNkorpor, mexor, enamor, elabor, balor, kolabor, debor, ador, demor, eksplor, deterjor, añor, or, dekor, aflor, mor, asesor	desafor, agor, eNkor
190	o	->	o	/	X b	__	k	[]	[]	8	8	1.0	0.887	probok, ekibok, konbok, ebok, desembok, inbok, embok, rebok	
211	o	->	o	/	X d	__	n	[]	[]	8	8	1.0	0.887	abandon, perdon, don, akordon, galardon, kondon, algodon, almidon	
432	o	->	o	/	X r	__	t	[]	[]	8	8	1.0	0.887	brot, derrot, frot, alborot, trot, rot, abarrot, aporrot	
455	o	->	o	/	X 	__	rr	[]	[]	8	8	1.0	0.887	borr, aorr, forr, atiborr, torr, amodorr, aforr, amorr	
676	o	->	o	/	X eksj	__	n	[]	[]	8	8	1.0	0.887	refleksjon, seleksjon, perfeksjon, konfeksjon, koleksjon, inspeksjon, aleksjon, aneksjon	
731	o	->	o	/	X nt	__	 y	[]	[]	8	8	1.0	0.887	antox, enton, amonton, entorn, desenton, enbalenton, kontorn, entort	
1006	o	->	o	/	X a	__	 y	[]	[]	8	8	1.0	0.887	aog, aorr, desaog, aork, aond, aorm, aorn, aox	
2222	o	->	o	/	X 	__	rm	[]	[]	8	8	1.0	0.887	form, inform, transform, konform, uniform, deform, reform, aorm	
111	o	->	o	/	X f	__	rm	[]	[]	7	7	1.0	0.872	form, inform, transform, konform, uniform, deform, reform	
456	o	->	o	/	a	__	 y	[]	[]	7	7	1.0	0.872	aog, aorr, aork, aond, aorm, aorn, aox	
700	o	->	o	/	X esj	__	n	[]	[]	7	7	1.0	0.872	impresjon, presjon, obsesjon, lesjon, posesjon, aposesjon, desaposesjon	
1158	o	->	o	/	X usj	__	n	[]	[]	7	7	1.0	0.872	solusjon, ebolusjon, ilusjon, fusjon, desilusjon, disilusjon, polusjon	
1207	o	->	o	/	X br	__	 y	[]	[]	7	7	1.0	0.872	brot, desabroC, abroC, embroj, desbros, embrom, abrog	
1368	o	->	o	/	X pl	__	 y	[]	[]	7	7	1.0	0.872	eksplot, eksplor, desplom, implor, deplor, aplom, komplot	
1697	o	->	o	/	X 	__	C	[]	[]	7	7	1.0	0.872	reproC, derroC, desabroC, abroC, trasnoC, desmoC, biskoC	
379	o	->	o	/	X t	__	 y	[]	[]	35	32	0.914	0.869	tom, tok, otorg, torn, top, antox, enton, amonton, entorn, trastorn, kustodj, estorb, retok, desenton, retos, trastok, torr, atont, aboton	tost, exekutorj, retost
76	o	->	o	/	X l	__	 y	[]	[]	41	37	0.902	0.86	logr, kolok, balor, proloNg, flot, eksplot, eksplor, alox, aflox, desplom, eskalon, djalog, aflor, eloxj, eNglob, katalog, desalox, galop, pilot	eskalofrj, klok, glorj, aklok
163	o	->	o	/	X 	__	br	[]	[]	6	6	1.0	0.852	sobr, kobr, obr, rekobr, manjobr, sosobr	
201	o	->	o	/	X arr	__	 y	[]	[]	6	6	1.0	0.852	desarroj, arrox, arrop, arroj, abarrot, desarrop	
463	o	->	o	/	X asj	__	n	[]	[]	6	6	1.0	0.852	relasjon, okasjon, apasjon, estasjon, rasjon, korrelasjon	
720	o	->	o	/	X 	__	pj	[]	[]	6	6	1.0	0.852	kopj, apropj, ekspropj, fotokopj, akopj, serokopj	
893	o	->	o	/	X lusj	__	n	[]	[]	6	6	1.0	0.852	solusjon, ebolusjon, ilusjon, desilusjon, disilusjon, polusjon	
950	o	->	o	/	X d	__	r y	[]	[]	6	6	1.0	0.852	adorn, ador, dor, amodorr, desadorn, endors	
1035	o	->	o	/	X 	__	N y	[]	[]	6	6	1.0	0.852	proloNg, roNk, espoNx, resoNg, entroNk, aloNg	
1220	o	->	o	/	X m	__	n y	[]	[]	6	6	1.0	0.852	mont, remont, desmont, testimonj, mond, eskamond	
1401	o	->	o	/	X s	__	r y	[]	[]	6	6	1.0	0.852	asesor, atesor, absort, eksort, eksor, eksorn	
1639	o	->	o	/	emb	__	 y	[]	[]	6	6	1.0	0.852	embosk, embols, embos, embok, embot, embon	
2239	o	->	o	/	X 	__	nd y	[]	[]	6	6	1.0	0.852	rond, aond, mond, sond, atolondr, eskamond	
2354	o	->	o	/	X ad	__	 y	[]	[]	6	6	1.0	0.852	adopt, adorn, ador, ados, adob, desadorn	
